"","ai","aj","goodness"
"108",0.06,0.01,88.3368761294163
"109",0.07,0.01,88.5653846509857
"110",0.08,0.01,88.7938931725551
"111",0.09,0.01,89.0224016941245
"112",0.1,0.01,89.2509102156938
"113",0.11,0.01,89.4794187372632
"114",0.12,0.01,89.7079272588326
"115",0.13,0.01,89.936435780402
"116",0.14,0.01,90.1649443019714
"117",0.15,0.01,90.3934528235408
"118",0.16,0.01,90.6219613451101
"119",0.17,0.01,90.8504698666795
"120",0.18,0.01,91.0789783882489
"121",0.19,0.01,91.3074869098183
"122",0.2,0.01,91.5359954313877
"123",0.21,0.01,91.7645039529571
"124",0.22,0.01,91.9930124745264
"125",0.23,0.01,92.2215209960958
"126",0.24,0.01,92.4500295176652
"127",0.25,0.01,92.6785380392346
"128",0.26,0.01,92.907046560804
"129",0.27,0.01,93.1355550823734
"130",0.28,0.01,93.3640636039427
"131",0.29,0.01,93.5925721255121
"132",0.3,0.01,93.8210806470815
"133",0.31,0.01,94.0495891686509
"134",0.32,0.01,94.2780976902202
"135",0.33,0.01,94.5066062117897
"136",0.34,0.01,94.735114733359
"137",0.35,0.01,94.9636232549284
"138",0.36,0.01,95.1921317764978
"139",0.37,0.01,95.4206402980672
"140",0.38,0.01,95.6491488196366
"141",0.39,0.01,95.8776573412059
"142",0.4,0.01,96.1061658627753
"143",0.41,0.01,96.3346743843447
"144",0.42,0.01,96.5631829059141
"145",0.43,0.01,96.7916914274835
"146",0.44,0.01,97.0201999490529
"147",0.45,0.01,97.2487084706223
"148",0.46,0.01,97.4772169921916
"149",0.47,0.01,97.705725513761
"150",0.48,0.01,97.9342340353304
"151",0.49,0.01,98.1627425568998
"152",0.5,0.01,98.3912510784692
"153",0.51,0.01,98.6197596000385
"154",0.52,0.01,98.8482681216079
"155",0.53,0.01,99.0767766431773
"156",0.54,0.01,99.3052851647467
"157",0.55,0.01,99.5337936863161
"158",0.56,0.01,99.7623022078855
"159",0.57,0.01,99.9908107294548
"160",0.58,0.01,100.219319251024
"161",0.59,0.01,100.447827772594
