"","ai","aj","goodness"
"254",0.175,0.15,0.2010925
"255",0.2,0.15,0.22982
"256",0.225,0.15,0.2585475
"257",0.25,0.15,0.287275
"258",0.275,0.15,0.3160025
"259",0.3,0.15,0.34473
"260",0.325,0.15,0.3734575
"261",0.35,0.15,0.402185
"262",0.375,0.15,0.4309125
"263",0.4,0.15,0.45964
"264",0.425,0.15,0.4883675
"265",0.45,0.15,0.517095
"266",0.475,0.15,0.5458225
"267",0.5,0.15,0.57455
"268",0.525,0.15,0.6032775
"269",0.55,0.15,0.632005
"270",0.575,0.15,0.6607325
"271",0.6,0.15,0.68946
"272",0.625,0.15,0.7181875
"273",0.65,0.15,0.746915
"274",0.675,0.15,0.7756425
"275",0.7,0.15,0.80437
"276",0.725,0.15,0.8330975
"277",0.75,0.15,0.861825
"278",0.775,0.15,0.8905525
"279",0.8,0.15,0.91928
"280",0.825,0.15,0.9480075
"281",0.85,0.15,0.976735
"282",0.875,0.15,1.0054625
"283",0.9,0.15,1.03419
"284",0.925,0.15,1.0629175
"285",0.95,0.15,1.091645
"286",0.975,0.15,1.1203725
"287",1,0.15,1.1491
"288",0,0.175,0
"289",0.025,0.175,0.02934875
"290",0.05,0.175,0.0586975
"291",0.075,0.175,0.08804625
"292",0.1,0.175,0.117395
"293",0.125,0.175,0.14674375
"294",0.15,0.175,0.1760925
"295",0.175,0.175,0.20544125
"296",0.2,0.175,0.23479
"297",0.225,0.175,0.26413875
"298",0.25,0.175,0.2934875
"299",0.275,0.175,0.32283625
"300",0.3,0.175,0.352185
"301",0.325,0.175,0.38153375
"302",0.35,0.175,0.4108825
"303",0.375,0.175,0.44023125
"304",0.4,0.175,0.46958
"305",0.425,0.175,0.49892875
"306",0.45,0.175,0.5282775
"307",0.475,0.175,0.55762625
"308",0.5,0.175,0.586975
"309",0.525,0.175,0.61632375
"310",0.55,0.175,0.6456725
"311",0.575,0.175,0.67502125
"312",0.6,0.175,0.70437
"313",0.625,0.175,0.73371875
"314",0.65,0.175,0.7630675
"315",0.675,0.175,0.79241625
"316",0.7,0.175,0.821765
"317",0.725,0.175,0.85111375
"318",0.75,0.175,0.8804625
"319",0.775,0.175,0.90981125
"320",0.8,0.175,0.93916
"321",0.825,0.175,0.96850875
"322",0.85,0.175,0.9978575
"323",0.875,0.175,1.02720625
"324",0.9,0.175,1.056555
"325",0.925,0.175,1.08590375
"326",0.95,0.175,1.1152525
"327",0.975,0.175,1.14460125
"328",1,0.175,1.17395
"329",0,0.2,0
"330",0.025,0.2,0.02997
"331",0.05,0.2,0.05994
"332",0.075,0.2,0.08991
"333",0.1,0.2,0.11988
"334",0.125,0.2,0.14985
"335",0.15,0.2,0.17982
"336",0.175,0.2,0.20979
"337",0.2,0.2,0.23976
"338",0.225,0.2,0.26973
"339",0.25,0.2,0.2997
"340",0.275,0.2,0.32967
"341",0.3,0.2,0.35964
"342",0.325,0.2,0.38961
"343",0.35,0.2,0.41958
"344",0.375,0.2,0.44955
"345",0.4,0.2,0.47952
"346",0.425,0.2,0.50949
"347",0.45,0.2,0.53946
"348",0.475,0.2,0.56943
"349",0.5,0.2,0.5994
"350",0.525,0.2,0.62937
"351",0.55,0.2,0.65934
"352",0.575,0.2,0.68931
"353",0.6,0.2,0.71928
"354",0.625,0.2,0.74925
"355",0.65,0.2,0.77922
"356",0.675,0.2,0.80919
"357",0.7,0.2,0.83916
"358",0.725,0.2,0.86913
"359",0.75,0.2,0.8991
"360",0.775,0.2,0.92907
"361",0.8,0.2,0.95904
"362",0.825,0.2,0.98901
"363",0.85,0.2,1.01898
"364",0.875,0.2,1.04895
"365",0.9,0.2,1.07892
"366",0.925,0.2,1.10889
"367",0.95,0.2,1.13886
"368",0.975,0.2,1.16883
"369",1,0.2,1.1988
"370",0,0.225,0
"371",0.025,0.225,0.03059125
"372",0.05,0.225,0.0611825
"373",0.075,0.225,0.09177375
"374",0.1,0.225,0.122365
"375",0.125,0.225,0.15295625
"376",0.15,0.225,0.1835475
"377",0.175,0.225,0.21413875
"378",0.2,0.225,0.24473
"379",0.225,0.225,0.27532125
"380",0.25,0.225,0.3059125
"381",0.275,0.225,0.33650375
"382",0.3,0.225,0.367095
"383",0.325,0.225,0.39768625
"384",0.35,0.225,0.4282775
"385",0.375,0.225,0.45886875
"386",0.4,0.225,0.48946
"387",0.425,0.225,0.52005125
"388",0.45,0.225,0.5506425
"389",0.475,0.225,0.58123375
"390",0.5,0.225,0.611825
"391",0.525,0.225,0.64241625
"392",0.55,0.225,0.6730075
"393",0.575,0.225,0.70359875
"394",0.6,0.225,0.73419
"395",0.625,0.225,0.76478125
"396",0.65,0.225,0.7953725
"397",0.675,0.225,0.82596375
"398",0.7,0.225,0.856555
"399",0.725,0.225,0.88714625
"400",0.75,0.225,0.9177375
"401",0.775,0.225,0.94832875
"402",0.8,0.225,0.97892
"403",0.825,0.225,1.00951125
"404",0.85,0.225,1.0401025
"405",0.875,0.225,1.07069375
"406",0.9,0.225,1.101285
"407",0.925,0.225,1.13187625
"408",0.95,0.225,1.1624675
"409",0.975,0.225,1.19305875
"410",1,0.225,1.22365
"411",0,0.25,0
"412",0.025,0.25,0.0312125
"413",0.05,0.25,0.062425
"414",0.075,0.25,0.0936375
"415",0.1,0.25,0.12485
"416",0.125,0.25,0.1560625
"417",0.15,0.25,0.187275
"418",0.175,0.25,0.2184875
"419",0.2,0.25,0.2497
"420",0.225,0.25,0.2809125
"421",0.25,0.25,0.312125
"422",0.275,0.25,0.3433375
"423",0.3,0.25,0.37455
"424",0.325,0.25,0.4057625
